City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
522,Kaeo,100,NZ,2022-01-31 21:53:44,88,-35.1,173.7833,71.33,14.79
523,Alugan,68,PH,2022-01-31 21:53:45,85,12.2188,125.4808,77.67,8.21
524,Rocha,13,UY,2022-01-31 21:53:36,58,-34.4833,-54.3333,65.23,10.96
525,Acapulco,40,MX,2022-01-31 21:48:57,65,16.8634,-99.8901,84.02,9.22
526,Tikrit,100,IQ,2022-01-31 21:53:46,72,34.6071,43.6782,48.87,11.83
527,Eregli,96,TR,2022-01-31 21:53:47,88,37.5133,34.0467,29.05,1.72
528,Genhe,92,CN,2022-01-31 21:53:48,100,50.7833,121.5167,-17.28,2.46
529,Arman,84,RU,2022-01-31 21:53:48,78,59.7,150.1667,0.25,14.38
530,Aquiraz,32,BR,2022-01-31 21:53:49,76,-3.9014,-38.3911,82.49,10.33
531,Yeniseysk,48,RU,2022-01-31 21:53:50,100,58.4497,92.1703,-11.67,3.06
532,Ishigaki,75,JP,2022-01-31 21:53:50,68,24.3448,124.1572,64.53,11.5
533,Peniche,0,PT,2022-01-31 21:53:51,92,39.3558,-9.3811,53.62,9.44
534,Houma,0,US,2022-01-31 21:53:52,57,29.5958,-90.7195,68.0,12.66
535,Chernyshevskiy,90,RU,2022-01-31 21:53:53,100,63.0128,112.4714,-19.82,2.24
536,Guilin,98,CN,2022-01-31 21:52:55,90,25.2819,110.2864,39.31,5.53
537,Puyang,98,CN,2022-01-31 21:53:54,94,29.4603,119.8861,38.59,3.11
538,Donegal,100,IE,2022-01-31 21:53:55,93,54.65,-8.1167,49.1,21.25
539,Tahta,5,EG,2022-01-31 21:53:55,75,26.7693,31.5021,53.92,4.25
540,Jaque,42,PA,2022-01-31 21:53:56,67,7.5175,-78.1703,83.61,9.66
541,Odienne,90,CI,2022-01-31 21:53:57,13,9.51,-7.5692,78.66,4.21
542,Mongoumba,18,CF,2022-01-31 21:53:57,24,3.6415,18.5936,73.83,2.19
543,Qarqin,1,AF,2022-01-31 21:53:58,59,37.4185,66.0436,47.35,14.47
544,Pangnirtung,20,CA,2022-01-31 21:53:59,75,66.1451,-65.7125,-27.4,0.0
545,Billings,20,US,2022-01-31 21:40:18,25,45.7833,-108.5007,44.37,33.38
546,Eucaliptus,86,BO,2022-01-31 21:54:01,53,-17.5833,-67.5167,56.68,8.75
547,Morondava,0,MG,2022-01-31 21:54:02,77,-20.2833,44.2833,79.02,3.13
548,Primero De Enero,67,CU,2022-01-31 21:54:02,54,21.9469,-78.4283,71.31,12.77
549,Taos,0,US,2022-01-31 21:50:18,26,36.4072,-105.5731,45.0,10.36
550,Tshela,77,CD,2022-01-31 21:54:03,99,-4.9833,12.9333,72.95,1.32
551,Baijiantan,45,CN,2022-01-31 21:54:04,95,45.6333,85.1833,1.72,2.08
552,Okhotsk,88,RU,2022-01-31 21:54:05,75,59.3833,143.3,5.58,17.2
553,Freeport,0,US,2022-01-31 21:49:10,51,40.6576,-73.5832,30.96,1.99
554,North Bend,40,US,2022-01-31 21:54:06,92,43.4065,-124.2243,48.11,4.61
555,Kimbe,100,PG,2022-01-31 21:54:07,88,-5.5502,150.1429,78.85,0.65
556,Quthing,100,LS,2022-01-31 21:54:08,87,-30.4,27.7003,62.55,2.55
557,Virginia Beach,0,US,2022-01-31 21:54:03,74,36.8529,-75.978,46.62,1.99
558,Roma,9,US,2022-01-31 21:54:09,88,43.2128,-75.4557,23.13,3.13
559,Maribo,92,DK,2022-01-31 21:54:10,92,54.7766,11.5002,35.94,9.31
